'Datetime','N','P','Z','D'
1.262297693000000000e+09,4.442577318523101004e-01,1.175422213083105794e+00,1.695353760808284482e+00,6.849662942563011780e-01
1.262297694000000000e+09,3.683161280217682743e-01,1.199171371135976605e+00,1.724455615615197779e+00,7.080568852270591185e-01
1.262297695000000000e+09,2.981327441056487171e-01,1.208702945183137700e+00,1.755109376100886687e+00,7.380549346103287833e-01
1.262297696000000000e+09,2.361222901176089906e-01,1.203711136240483315e+00,1.786291626704742619e+00,7.738749469371668521e-01
1.262297697000000000e+09,1.842994983964671429e-01,1.184124121250611061e+00,1.817023700900967986e+00,8.145526794519556413e-01
1.262297698000000000e+09,1.441684525492897273e-01,1.150283595365986677e+00,1.846353557716671867e+00,8.591943943680535600e-01
1.262297699000000000e+09,1.139055813447856225e-01,1.106832973918945529e+00,1.873136359308410270e+00,9.061250854278604105e-01
1.262297700000000000e+09,9.069327008061081608e-02,1.058276057044670093e+00,1.896737055762560908e+00,9.542936171121597644e-01
1.262297701000000000e+09,7.284077919453775529e-02,1.007264756337158396e+00,1.916871404394258294e+00,1.003023060074047512e+00
1.262297702000000000e+09,5.938924920783798800e-02,9.554879630876365049e-01,1.933462194803123868e+00,1.051660592901403346e+00
1.262297703000000000e+09,4.984350108047420902e-02,9.039323673956496386e-01,1.946610045417390245e+00,1.099614086106487809e+00
1.262297704000000000e+09,4.284253653407230078e-02,8.540970638885003741e-01,1.956451467037034764e+00,1.146608932540394310e+00
1.262297705000000000e+09,3.761852424717510024e-02,8.066558372366187113e-01,1.963240021486111653e+00,1.192485617030096368e+00
1.262297706000000000e+09,3.370680903678612700e-02,7.619223255477469703e-01,1.967249858859496880e+00,1.237121006555971903e+00
1.262297707000000000e+09,3.084259013498320823e-02,7.199590037289080868e-01,1.968762151933318272e+00,1.280436254202792501e+00
1.262297708000000000e+09,2.885770421277619388e-02,6.806983792724556892e-01,1.968054843293185918e+00,1.322389073221583944e+00
1.262297709000000000e+09,2.753655429001053076e-02,6.441283074916178686e-01,1.965380228802639628e+00,1.362954909415733828e+00
1.262297710000000000e+09,2.677446839465531109e-02,6.101299083627861330e-01,1.960975008732681379e+00,1.402120614509879015e+00
